Concurso	Bola1	Bola2	Bola3	Bola4	Bola5
240	30	35	49	51	69
241	2	16	32	63	67
242	22	34	36	42	62
243	2	4	55	60	65
244	5	8	31	32	41
245	16	25	27	28	69
246	22	61	63	66	80
247	3	5	22	30	60
248	5	50	56	60	62
249	9	50	63	67	76
250	43	51	75	79	80
251	20	37	46	61	74
252	8	14	43	65	76
253	7	21	54	62	77
254	21	38	52	60	66
255	11	46	55	75	78
256	4	6	18	40	74
257	24	26	37	48	71
258	3	35	39	63	69
259	6	21	22	52	74
260	16	19	21	23	32
261	2	10	29	33	54
262	13	61	65	67	79
263	32	63	66	76	77
264	23	25	29	52	55
265	26	37	39	66	71
266	21	28	51	65	69
267	8	27	44	66	75
268	39	51	57	75	76
269	7	22	23	50	76
270	14	21	33	34	45
271	3	11	24	54	65
272	3	14	22	32	41
273	13	15	25	39	44
274	15	52	55	62	79
275	13	22	29	68	72
276	13	17	23	49	71
277	26	32	38	68	72
278	5	10	21	51	58
279	2	20	39	53	60
280	16	18	46	56	80
281	23	41	46	53	71
282	20	48	50	75	76
283	25	46	52	61	74
284	9	23	56	64	73
285	7	13	37	56	64
286	2	18	64	67	77
287	11	28	60	61	71
288	2	13	27	78	80
289	4	69	70	72	80
290	5	6	55	70	73
291	5	34	45	49	58
292	4	42	67	74	75
293	4	41	49	55	80
294	17	20	43	68	74
295	10	20	29	65	76
296	1	21	50	55	68
297	25	52	53	58	78
298	6	17	31	40	66
299	11	25	29	52	53
300	8	19	20	28	34
301	44	46	53	59	65
302	7	30	51	52	69
303	28	48	50	64	71
304	3	22	42	71	79
305	6	16	31	36	53
306	9	28	34	40	42
307	10	27	29	61	66
308	13	14	16	21	69
309	16	26	37	40	62
310	1	14	49	71	74
311	29	46	53	63	68
312	6	29	36	44	68
313	28	30	54	67	74
314	7	10	18	57	74
315	12	19	33	44	67
316	27	28	50	65	76
317	2	8	36	45	64
318	22	26	34	39	40
319	1	21	33	39	48
320	3	4	7	14	39
321	18	21	23	54	74
322	10	25	33	43	68
323	32	34	52	68	73
324	42	56	61	76	79
325	2	7	9	27	59
326	5	6	12	50	61
327	3	10	35	47	59
328	17	23	52	70	71
329	7	12	36	39	50
330	6	7	9	36	45
331	53	57	62	70	78
332	24	25	34	50	65
333	1	3	18	46	64
334	15	20	23	78	79
335	9	16	20	34	53
336	42	54	55	70	74
337	1	20	40	42	75
338	3	7	10	23	43
339	2	3	45	49	60
340	4	6	35	64	65
341	27	32	54	57	80
342	1	9	51	59	74
343	13	16	18	21	36
344	4	27	44	61	71
345	21	22	40	51	74
346	14	35	53	64	77
347	16	25	27	33	74
348	14	22	24	59	72
349	15	23	25	29	71
350	6	18	42	56	72
351	12	36	38	50	53
352	2	28	51	53	77
353	1	21	46	56	79
354	3	16	32	37	50
355	8	22	48	59	76
356	18	35	37	50	54
357	3	33	44	77	78
358	11	29	42	63	72
359	12	33	51	60	80
360	11	46	49	60	71
361	20	40	59	68	80
362	17	50	69	73	76
363	17	31	51	60	74
364	3	25	30	32	62
365	10	31	37	61	74
366	7	10	32	54	59
367	41	58	61	66	80
368	6	11	43	46	58
369	6	28	32	51	80
370	12	14	26	27	75
371	9	30	38	56	76
372	1	12	49	55	76
373	16	26	36	41	78
374	27	44	45	56	71
375	2	12	14	16	29
376	1	17	47	68	71
377	4	19	48	76	80
378	5	16	34	40	73
379	11	29	36	38	67
380	1	7	28	48	73
381	7	15	45	53	66
382	4	17	19	51	62
383	1	2	4	6	28
384	36	50	55	58	75
385	18	29	35	63	68
386	15	17	18	25	44
387	26	32	45	62	77
388	17	36	67	69	77
389	25	38	57	69	78
390	19	30	35	48	76
391	20	43	47	62	74
392	11	17	26	48	56
393	17	37	53	71	76
394	1	6	38	65	70
395	31	34	36	58	62
396	21	23	37	69	73
397	27	38	48	58	75
398	11	12	17	57	74
399	9	27	38	48	57
400	56	59	65	70	71
401	1	7	9	39	80
402	38	57	66	72	77
403	1	14	42	44	56
404	4	8	52	59	67
405	5	19	43	77	80
406	3	35	40	61	77
407	16	29	44	57	70
408	4	5	14	28	40
409	3	26	63	74	76
410	7	8	17	47	55
411	9	12	52	65	78
412	1	20	44	66	77
413	24	40	52	57	62
414	2	12	20	47	55
415	15	26	51	58	65
416	47	52	53	71	78
417	11	25	40	48	73
418	34	39	47	75	76
419	21	23	37	50	55
420	38	44	46	72	80
421	24	41	52	56	76
422	37	44	54	62	64
423	17	39	48	56	75
424	5	6	22	28	31
425	1	21	28	44	48
426	5	13	26	54	67
427	15	24	30	57	67
428	5	20	27	70	80
429	2	39	41	51	73
430	19	52	57	74	79
431	6	35	50	57	58
432	27	33	37	53	60
433	20	22	38	45	53
434	23	30	36	39	40
435	20	30	34	35	65
436	31	38	43	44	79
437	15	30	31	49	52
438	12	27	46	48	79
439	10	21	52	58	64
440	35	64	66	70	79
441	13	33	60	75	76
442	2	52	53	70	77
443	3	50	66	67	70
444	13	32	53	60	69
445	8	38	39	46	76
446	23	42	50	61	80
447	12	14	16	43	44
448	12	25	27	34	76
449	13	19	34	54	73
450	13	35	48	49	53
451	21	32	48	54	61
452	12	51	54	60	61
453	18	44	66	74	75
454	19	30	40	60	75
455	7	16	49	52	73
456	18	47	70	74	80
457	1	13	31	49	56
458	21	29	40	62	73
459	8	19	30	33	49
460	15	52	61	67	68
461	9	48	51	65	80
462	12	30	44	50	79
463	5	33	43	53	67
464	9	18	29	69	80
465	10	37	41	47	78
466	4	8	18	19	31
467	19	31	35	60	79
468	6	9	49	57	77
469	7	10	59	65	79
470	18	28	30	45	70
471	18	21	32	38	54
472	24	57	67	69	77
473	30	49	56	57	74
474	12	22	27	28	77
475	3	11	32	37	53
476	12	16	49	56	67
477	4	18	27	38	47
478	8	14	28	63	64
479	10	15	17	63	67
480	31	33	48	68	80
481	22	25	45	56	72
482	3	5	26	38	62
483	19	20	25	52	55
484	27	37	56	66	68
485	3	11	52	56	59
486	14	25	32	53	67
487	16	40	55	64	70
488	3	24	53	56	63
489	1	36	38	41	74
490	7	17	29	42	43
491	3	10	14	21	64
492	2	28	43	44	64
493	7	10	11	39	47
494	27	38	44	65	70
495	6	23	25	33	38
496	9	11	28	39	47
497	6	13	29	48	76
498	3	14	20	39	68
499	5	9	50	51	73
500	9	18	38	71	73
501	24	32	51	61	63
502	11	35	45	50	64
503	2	18	23	54	73
504	3	7	26	66	79
505	9	30	52	59	75
506	16	29	62	64	73
507	1	26	64	68	73
508	7	22	28	41	53
509	5	14	15	25	73
510	4	5	18	58	72
511	7	15	19	34	52
512	6	40	56	66	71
513	15	27	31	56	63
514	1	9	27	69	78
515	6	21	33	34	75
516	5	47	54	63	72
517	3	14	22	46	60
518	6	22	28	45	71
519	3	36	40	52	76
520	4	12	28	30	43
521	26	52	72	74	79
522	1	2	3	27	65
523	9	52	59	62	80
524	3	5	16	32	38
525	16	38	58	64	72
526	7	8	36	57	67
527	2	25	44	45	65
528	1	9	50	61	79
529	7	10	26	35	36
530	7	24	26	28	72
531	11	35	56	63	77
532	22	25	30	57	63
533	5	13	39	47	63
534	7	43	53	59	72
535	3	23	51	73	74
536	3	9	48	59	79
537	4	22	49	53	64
538	25	29	34	59	66
539	19	42	63	75	78
540	4	8	15	20	32
541	6	13	18	21	80
542	25	33	40	54	71
543	7	19	36	43	74
544	9	40	47	48	53
545	6	20	44	48	76
546	1	32	45	52	72
547	2	16	27	30	56
548	14	20	46	49	80
549	19	33	50	53	70
550	12	28	51	53	67
551	14	35	37	57	65
552	8	15	16	44	56
553	12	16	27	28	78
554	4	9	20	35	80
555	19	30	47	54	55
556	15	46	55	59	69
557	10	36	48	71	77
558	27	45	46	61	75
559	6	7	39	41	62
560	17	22	39	58	75
561	3	17	21	25	39
562	15	30	43	56	58
563	46	57	62	76	80
564	7	31	42	46	56
565	37	40	51	64	74
566	7	21	23	29	52
567	3	29	65	69	79
568	13	15	48	49	80
569	35	49	56	75	76
570	3	20	40	57	60
571	19	22	35	44	45
572	1	5	14	24	25
573	10	25	31	32	54
574	12	19	44	68	75
575	3	16	36	55	62
576	18	28	45	52	59
577	5	6	17	23	45
578	7	11	34	47	74
579	5	23	47	50	61
580	4	17	18	27	56
581	21	30	54	66	72
582	11	16	23	32	59
583	10	35	39	57	70
584	9	18	20	53	70
585	7	10	29	37	63
586	12	19	22	31	42
587	5	44	59	74	79
588	6	33	49	74	75
589	15	20	28	31	53
590	18	22	30	47	52
591	14	20	28	43	48
592	10	17	34	51	63
593	9	14	32	41	79
594	8	14	33	37	73
595	8	23	32	40	44
596	3	17	29	61	75
597	24	33	41	69	74
598	13	18	39	65	71
599	22	32	37	47	51
600	16	34	41	51	54
601	9	38	52	62	78
602	1	22	33	42	52
603	21	25	33	37	55
604	7	23	46	63	67
605	19	32	37	44	69
606	2	23	40	43	66
607	1	21	33	46	76
608	12	32	38	64	79
609	28	49	58	63	76
610	25	49	70	76	78
611	4	31	38	47	78
612	22	23	26	45	63
613	1	21	28	70	79
614	16	22	42	51	57
615	1	11	23	53	67
616	7	17	40	58	73
617	8	10	11	14	50
618	35	49	54	64	68
619	1	11	25	33	79
620	10	17	18	24	40
621	9	25	33	53	68
622	1	17	34	40	46
623	26	33	44	50	79
624	44	45	46	49	67
625	13	32	42	59	69
626	7	33	38	58	76
627	31	44	49	70	80
628	46	52	56	60	65
629	26	34	42	64	78
630	7	45	56	59	61
631	29	53	58	61	68
632	17	20	21	42	48
633	8	20	59	61	66
634	34	50	60	71	73
635	1	25	36	50	62
636	11	32	40	43	57
637	9	15	23	41	67
638	7	49	51	64	69
639	17	35	55	62	77
640	5	14	39	57	72
641	15	56	63	65	76
642	10	20	36	58	60
643	2	9	41	53	60
644	12	27	28	34	49
645	2	15	22	25	74
646	3	8	36	44	63
647	19	43	52	59	74
648	24	31	39	60	72
649	29	38	71	73	78
650	11	23	33	52	70
651	23	27	40	72	73
652	3	27	47	66	76
653	7	8	10	45	46
654	3	13	48	55	68
655	11	21	31	40	41
656	12	27	40	58	67
657	41	62	70	79	80
658	3	25	44	60	69
659	9	24	39	49	64
660	42	45	53	70	73
661	12	29	33	62	74
662	7	19	22	40	73
663	34	36	51	69	70
664	10	12	37	38	65
665	8	28	70	77	78
666	15	16	27	50	64
667	34	44	55	60	63
668	4	11	38	39	51
669	2	16	31	55	61
670	8	18	30	34	76
671	12	63	65	74	77
672	10	49	53	57	62
673	12	25	31	48	79
674	2	6	50	56	80
675	14	37	58	70	79
676	17	19	48	50	66
677	4	9	20	31	38
678	13	38	40	64	71
679	26	33	48	58	77
680	35	36	50	63	71
681	15	24	53	65	66
682	33	40	51	59	79
683	24	25	35	37	70
684	9	44	53	73	76
685	4	30	46	52	71
686	18	46	49	61	76
687	33	58	64	69	78
688	6	16	37	52	71
689	1	13	17	25	73
690	13	26	33	39	56
691	41	44	47	63	69
692	2	14	22	35	66
693	16	24	37	41	69
694	17	44	51	61	63
695	13	24	29	38	43
696	28	43	63	65	69
697	19	28	31	53	66
698	1	2	10	19	60
699	8	25	51	58	75
700	2	25	36	42	59
701	21	57	65	79	80
702	9	19	40	54	73
703	3	23	55	57	78
704	15	27	42	60	63
705	36	37	51	54	67
706	27	33	56	57	73
707	1	52	53	57	80
708	5	8	11	12	62
709	5	26	39	51	53
710	28	31	34	39	70
711	13	14	32	54	60
712	12	18	41	62	67
713	7	12	23	38	39
714	13	48	71	73	75
715	23	32	38	49	74
716	8	43	49	54	71
717	13	16	23	40	49
718	22	32	37	46	70
719	1	7	14	43	68
720	5	32	34	47	78
721	9	24	49	70	72
722	5	14	65	71	73
723	12	20	64	69	77
724	8	42	45	47	63
725	2	43	56	59	60
726	14	18	31	78	79
727	2	4	45	46	51
728	3	19	34	43	61
729	25	38	54	61	71
730	8	11	25	48	61
731	3	9	42	53	69
732	7	10	28	62	78
733	16	32	59	73	76
734	7	8	13	49	65
735	29	57	59	77	79
736	14	17	43	44	57
737	22	43	44	64	68
738	2	18	33	56	79
739	1	4	59	74	80
740	4	11	36	58	75
741	10	22	40	55	79
742	15	52	62	65	72
743	11	43	70	77	80
744	4	19	58	67	79
745	24	37	49	54	57
746	35	39	40	42	71
747	16	32	38	45	71
748	27	43	45	64	67
749	18	34	37	40	55
750	8	37	56	58	63
751	19	38	41	53	78
752	6	18	34	37	57
753	19	34	54	61	63
754	22	26	29	47	60
755	11	38	50	61	80
756	15	30	39	67	73
757	5	29	44	66	72
758	14	17	60	64	69
759	4	21	56	63	67
760	9	32	61	64	75
761	8	22	25	43	46
762	12	18	52	63	75
763	18	25	26	47	70
764	4	9	28	33	38
765	17	28	30	31	69
766	15	19	55	59	74
767	15	46	49	61	64
768	1	23	31	41	60
769	8	28	34	60	65
770	26	64	69	71	76
771	13	31	52	63	76
772	7	8	13	18	24
773	21	24	38	73	79
774	18	22	61	68	72
775	2	11	42	54	61
776	14	29	60	61	62
777	18	35	48	63	65
778	33	39	65	66	71
779	11	14	20	24	70
780	24	30	31	41	58
781	2	17	50	61	70
782	7	40	53	54	77
783	10	14	48	49	73
784	7	30	60	66	77
785	28	41	55	56	75
786	16	26	56	72	80
787	13	15	25	42	77
788	3	25	31	44	64
789	25	31	53	66	80
790	6	7	31	52	78
791	6	38	50	66	69
792	4	7	14	34	73
793	1	9	14	31	70
794	14	19	37	46	61
795	2	54	58	76	79
796	15	38	39	48	79
797	11	18	34	39	55
798	12	27	52	57	69
799	12	29	44	67	80
800	13	28	44	45	66
801	25	33	45	66	79
802	3	25	28	51	70
803	29	32	42	52	59
804	8	26	38	46	74
805	13	22	41	42	71
806	36	39	42	61	68
807	5	16	24	61	65
808	31	37	38	49	67
809	31	61	65	77	80
810	12	13	21	53	77
811	2	42	51	53	59
812	11	18	43	72	73
813	7	23	65	71	74
814	9	19	28	46	76
815	18	32	34	48	65
816	2	11	42	60	62
817	19	35	42	54	65
818	11	32	43	58	61
819	7	11	31	76	78
820	7	48	53	62	74
821	9	18	30	54	75
822	25	30	34	49	66
823	11	32	38	43	80
824	25	26	53	55	73
825	9	10	67	74	76
826	34	39	41	46	68
827	1	25	35	43	48
828	7	68	72	75	77
829	27	35	41	58	59
830	10	27	45	69	71
831	1	16	25	27	37
832	6	28	29	39	50
833	5	13	46	47	70
834	43	59	69	75	77
835	11	16	41	67	77
836	7	18	30	41	69
837	6	23	43	65	70
838	21	39	76	77	80
839	46	50	62	69	70
840	2	12	35	55	56
841	12	23	32	43	59
842	8	50	59	72	75
843	15	20	40	71	72
844	23	47	56	77	78
845	8	16	28	63	70
846	34	38	41	56	62
847	30	41	47	71	78
848	15	33	40	57	60
849	7	26	44	71	80
850	26	29	34	43	79
851	1	15	39	41	55
852	5	54	57	67	75
853	14	36	42	67	80
854	4	13	30	49	63
855	3	38	56	64	66
856	6	38	41	75	80
857	7	11	66	74	77
858	11	16	20	62	75
859	1	6	9	49	75
860	8	23	46	47	59
861	4	10	14	41	45
862	12	14	26	66	68
863	15	18	19	70	79
864	7	34	60	61	66
865	4	19	30	39	62
866	9	25	40	41	61
867	4	20	42	58	66
868	9	24	34	52	55
869	30	59	68	72	75
870	15	17	44	52	69
871	19	32	49	56	73
872	46	54	58	59	70
873	10	24	48	57	77
874	16	38	39	44	71
875	6	31	39	46	52
876	9	29	35	55	70
877	31	38	39	51	54
878	11	13	24	64	69
879	19	27	35	49	78
880	11	14	32	38	41
881	3	9	54	56	61
882	2	5	13	39	55
883	2	38	74	76	77
884	19	28	44	46	54
885	3	5	13	37	45
886	24	37	40	44	59
887	5	27	28	35	40
888	18	22	31	45	79
889	15	31	36	47	76
890	3	7	21	41	67
891	4	13	18	46	47
892	14	20	34	73	75
893	5	7	13	66	79
894	10	13	36	38	50
895	16	34	49	58	59
896	14	26	51	62	77
897	30	39	56	70	72
898	8	39	59	77	78
899	17	26	28	36	55
900	41	49	52	56	74
901	24	41	51	60	73
902	14	33	34	55	78
903	8	22	28	52	58
904	42	49	51	57	64
905	42	49	55	61	69
906	19	20	22	33	39
907	24	29	32	50	74
908	1	9	23	50	73
909	8	16	37	64	79
910	7	19	31	45	55
911	4	18	25	57	74
912	4	14	23	45	70
913	7	11	25	50	67
914	11	32	55	67	76
915	7	13	19	27	61
916	12	46	50	52	68
917	6	10	28	47	55
918	33	36	49	65	78
919	8	13	40	72	77
920	5	13	14	36	69
921	4	9	64	74	75
922	1	12	20	24	62
923	2	16	36	39	52
924	18	36	49	56	79
925	2	15	30	61	78
926	40	46	50	73	79
927	15	38	48	54	70
928	3	22	28	35	45
929	5	28	52	55	69
930	32	41	47	61	77
931	20	31	61	76	79
932	2	45	59	73	78
933	6	27	51	70	79
934	2	21	44	46	69
935	14	29	41	63	65
936	36	40	46	51	78
937	32	50	59	77	79
938	7	34	53	61	77
939	1	15	33	48	61
940	40	46	59	72	73
941	41	45	50	59	68
942	26	35	71	73	80
943	20	42	45	49	64
944	29	40	50	63	67
945	10	23	39	49	55
946	6	19	28	44	79
947	16	23	24	37	79
948	21	34	41	71	75
949	20	45	52	57	74
950	3	11	14	16	22
951	5	21	43	58	74
952	14	17	19	36	37
953	2	5	18	45	70
954	33	51	56	66	67
955	22	44	73	75	76
956	15	23	25	48	49
957	20	32	38	40	72
958	36	48	61	62	79
959	7	11	47	54	61
960	16	25	49	50	80
961	13	31	51	56	69
962	22	25	47	51	74
963	28	45	55	71	80
964	28	36	38	53	57
965	10	39	43	59	71
966	8	30	34	37	44
967	9	19	49	53	64
968	17	37	51	55	61
969	6	11	41	43	53
970	3	31	50	65	70
971	17	32	53	75	78
972	17	28	35	38	56
973	6	19	34	42	52
974	22	42	61	64	72
975	2	16	44	58	64
976	18	27	46	61	71
977	27	36	53	54	69
978	4	12	24	39	69
979	4	41	48	55	59
980	27	46	51	57	67
981	16	18	31	56	74
982	16	24	32	33	61
983	1	26	31	37	49
984	3	4	34	47	65
985	19	36	44	60	70
986	3	17	30	52	64
987	6	27	46	54	59
988	12	19	56	72	76
989	2	3	22	61	69
990	3	12	14	64	73
991	1	5	52	54	64
992	5	17	20	54	78
993	16	40	48	58	66
994	2	35	36	53	59
995	25	27	32	68	80
996	1	6	21	31	49
997	3	9	13	19	43
998	3	15	36	43	47
999	3	12	44	46	49
1000	14	23	34	54	69
1001	3	39	47	54	63
1002	16	30	39	56	76
1003	26	28	52	58	79
1004	17	32	49	51	67
1005	2	38	42	44	59
1006	11	25	36	59	73
1007	17	20	41	52	70
1008	10	12	13	35	74
1009	8	18	43	55	75
1010	13	21	22	65	77
1011	3	15	37	58	68
1012	17	18	41	56	78
1013	17	18	24	26	69
1014	31	32	38	42	64
1015	1	16	56	64	80
1016	3	35	53	58	68
1017	24	26	40	42	55
1018	20	45	59	69	80
1019	10	11	22	39	72
1020	6	25	27	37	52
1021	2	4	32	53	80
1022	14	39	46	51	76
1023	19	34	38	49	70
1024	13	18	20	35	70
1025	6	16	21	32	50
1026	6	10	21	45	75
1027	30	38	48	50	64
1028	2	6	7	29	30
1029	18	34	40	50	51
1030	4	24	47	49	69
1031	22	29	39	56	80
1032	2	14	17	29	47
1033	10	30	41	56	69
1034	13	20	24	42	43
1035	9	16	41	70	72
1036	5	29	36	50	71
1037	5	31	64	68	73
1038	19	40	49	73	79
1039	14	25	28	51	63
1040	7	11	22	48	63
1041	10	25	53	61	67
1042	22	31	45	47	70
1043	12	28	73	78	80
1044	10	12	25	31	70
1045	2	7	25	30	67
1046	23	32	40	46	55
1047	29	56	65	68	72
1048	10	32	44	69	77
1049	26	29	37	75	80
1050	22	36	53	54	59
1051	2	42	44	49	63
1052	4	12	26	54	62
1053	25	35	36	40	71
1054	10	52	56	66	73
1055	16	19	29	30	73
1056	9	12	34	41	46
1057	9	13	14	48	69
1058	8	39	51	57	68
1059	11	16	17	43	63
1060	26	40	42	53	76
1061	28	33	34	41	53
1062	39	46	51	55	70
1063	5	18	28	53	59
1064	10	18	35	43	62
1065	4	6	8	27	46
1066	37	44	66	73	80
1067	11	35	42	78	80
1068	13	37	40	47	57
1069	28	43	47	53	73
1070	3	26	29	56	59
1071	13	48	50	73	78
1072	7	23	33	53	77
1073	23	42	57	58	78
1074	3	4	10	57	76
1075	40	48	54	61	66
1076	29	33	36	64	73
1077	6	34	41	48	73
1078	11	22	24	55	64
1079	5	7	45	48	68
1080	5	33	34	48	68
1081	2	4	40	64	78
1082	21	23	24	28	72
1083	26	33	41	46	49
1084	9	31	49	56	72
1085	10	22	26	70	74
1086	5	38	49	64	74
1087	4	6	15	29	32
1088	1	7	31	46	60
1089	19	22	44	55	73
1090	28	30	36	55	78
1091	15	23	43	45	78
1092	12	42	55	63	64
1093	12	24	28	31	70
1094	3	19	36	46	64
1095	9	18	21	32	52
1096	9	26	38	45	63
1097	2	18	46	61	74
1098	1	10	13	31	42
1099	9	27	30	50	57
1100	18	28	39	54	74
1101	41	65	74	78	80
1102	20	22	29	39	50
1103	20	32	33	43	74
1104	1	29	35	41	59
1105	36	37	38	48	78
1106	16	25	30	62	73
1107	8	11	18	49	79
1108	13	15	21	45	53
1109	8	11	29	35	55
1110	31	40	44	51	80
1111	7	31	35	39	45
1112	15	25	51	65	70
1113	2	14	16	34	54
1114	8	12	16	40	59
1115	4	42	52	56	73
1116	4	19	29	33	70
1117	3	10	23	32	51
1118	10	36	42	62	70
1119	44	46	65	73	74
1120	27	33	48	55	76
1121	26	40	42	74	76
1122	9	39	45	52	77
1123	18	21	42	56	75
1124	26	33	62	65	67
1125	33	45	48	73	77
1126	5	41	56	74	79
1127	18	22	32	46	72
1128	4	8	10	34	70
1129	3	19	27	58	66
1130	8	17	46	53	74
1131	18	23	45	56	72
1132	35	42	45	63	77
1133	22	28	38	46	68
1134	2	27	33	56	66
1135	18	32	41	72	76
1136	5	12	16	47	58
1137	10	19	33	39	78
1138	7	11	18	40	51
1139	18	31	45	61	71
1140	31	34	38	58	61
1141	36	49	62	77	78
1142	22	39	56	64	73
1143	5	42	44	69	78
1144	7	16	61	66	70
1145	24	27	44	61	70
1146	13	16	45	64	78
1147	34	51	54	60	66
1148	20	23	44	52	69
1149	23	24	60	67	69
