Concurso	Bola1	Bola2	Bola3	Bola4	Bola5	Bola6	Bola7
373	5	10	21	25	26	29	31
374	3	8	9	20	21	23	27
375	4	8	9	13	20	23	30
376	7	9	10	13	20	22	25
377	1	11	12	13	17	29	31
378	11	13	18	21	23	25	27
379	3	7	14	21	24	26	27
380	5	15	17	22	26	28	31
381	14	15	16	17	22	24	29
382	10	13	17	20	22	26	28
383	2	9	11	16	22	24	30
384	2	3	6	9	10	15	26
385	4	6	7	14	15	22	31
386	5	10	11	20	22	29	31
387	2	6	15	18	21	22	23
388	2	4	7	9	15	22	26
389	5	16	23	25	27	28	29
390	1	12	17	25	26	28	29
391	5	7	10	11	13	17	23
392	3	4	10	18	22	24	28
393	6	13	19	21	23	27	28
394	1	2	5	8	15	24	25
395	8	14	16	21	25	30	31
396	1	2	14	17	23	25	26
397	7	8	9	10	12	14	30
398	2	3	7	10	20	30	31
399	2	7	15	19	20	23	24
400	6	12	17	19	21	23	31
401	3	4	6	7	10	24	31
402	1	3	5	7	20	22	29
403	4	9	11	25	26	29	30
404	1	2	9	14	16	25	29
405	4	5	7	11	13	18	30
406	1	10	11	15	19	20	22
407	4	5	12	13	16	25	26
408	10	14	17	20	25	27	29
409	10	14	16	24	28	30	31
410	6	12	14	16	18	27	31
411	3	4	8	11	19	26	27
412	4	9	10	12	13	19	21
413	3	6	9	12	16	21	22
414	2	11	17	20	28	30	31
415	4	8	10	14	20	27	29
416	3	8	11	13	23	24	30
417	3	8	11	17	19	21	26
418	7	9	20	23	25	27	31
419	2	3	10	13	17	24	31
420	1	5	9	10	14	16	25
421	6	9	11	14	19	22	25
422	6	7	19	24	27	28	31
423	5	7	9	13	18	21	30
424	1	6	11	13	23	25	31
425	16	18	19	21	26	29	31
426	1	4	14	17	23	24	27
427	2	5	9	10	11	13	24
428	4	6	7	15	17	20	21
429	8	15	17	19	23	27	31
430	2	17	19	20	24	28	31
431	14	20	23	24	26	27	31
432	5	9	12	15	24	27	28
433	1	6	7	19	25	27	31
434	7	12	14	22	24	30	31
435	7	8	14	21	23	26	30
436	4	23	24	25	26	27	31
437	1	14	22	26	27	28	31
438	3	7	10	18	19	22	28
439	1	6	14	19	23	27	28
440	2	8	13	14	17	21	24
441	1	9	14	19	28	29	30
442	5	12	15	18	24	26	30
443	1	6	8	10	11	21	31
444	2	5	6	10	22	26	31
445	1	16	18	21	24	26	30
446	3	5	6	11	16	21	27
447	4	7	9	18	20	26	29
448	4	5	6	15	20	25	29
449	4	6	7	16	22	23	29
450	10	15	19	24	26	27	29
451	7	11	17	19	24	26	30
452	2	10	14	17	20	21	26
453	1	3	8	13	17	21	23
454	3	4	10	11	13	16	17
455	9	12	13	14	21	24	29
456	2	12	18	19	21	22	30
457	4	8	12	14	15	22	29
458	9	10	14	15	22	27	28
459	1	8	10	13	16	27	29
460	7	17	18	20	21	28	31
461	2	8	11	24	25	28	29
462	1	5	6	10	19	21	26
463	5	8	10	16	22	26	30
464	7	10	11	15	21	25	31
465	1	9	20	25	27	30	31
466	2	5	8	13	15	20	25
467	5	6	9	21	22	25	29
468	3	7	8	10	17	24	28
469	5	6	7	8	11	14	26
470	1	12	14	15	16	19	23
471	2	3	11	12	19	24	27
472	5	7	9	10	22	25	29
473	2	9	11	16	20	27	28
474	6	8	9	12	14	17	19
475	10	14	15	18	23	27	29
476	2	5	6	10	23	27	31
477	2	5	8	12	19	23	26
478	3	4	9	27	29	30	31
479	1	5	12	13	15	20	23
480	3	6	10	17	20	28	31
481	4	5	11	14	23	24	31
482	1	8	18	23	25	29	30
483	2	9	11	12	16	23	29
484	1	4	9	14	20	25	26
485	4	20	21	22	23	26	28
486	3	7	12	17	18	22	23
487	2	7	12	19	20	30	31
488	1	4	9	14	15	25	29
489	6	8	17	18	22	24	27
490	6	7	15	21	24	27	31
491	2	3	7	12	23	26	30
492	2	9	10	11	21	22	26
493	6	7	11	12	19	23	30
494	3	8	13	20	25	26	30
495	4	5	11	15	19	22	30
496	1	8	12	16	18	19	23
497	7	8	11	18	19	27	31
498	3	16	18	20	25	30	31
499	8	9	11	12	14	20	21
500	2	7	9	15	22	24	27
501	3	13	18	20	23	24	30
502	1	5	8	18	26	27	31
503	2	3	5	9	15	22	29
504	2	9	10	11	21	30	31
505	2	3	7	8	12	14	29
506	4	6	16	20	26	27	29
507	7	8	14	15	16	17	23
508	2	3	4	8	11	15	25
509	1	3	5	6	15	20	23
510	5	6	16	17	21	27	31
511	7	8	9	17	19	28	29
512	4	5	10	12	13	21	23
513	6	7	15	24	27	29	31
514	1	2	5	8	15	17	18
515	5	7	14	15	18	20	24
516	1	11	15	17	22	26	27
517	10	11	21	22	27	29	30
518	5	10	11	16	18	24	25
519	8	9	12	13	16	19	24
520	11	12	15	21	22	30	31
521	9	13	16	17	22	24	27
522	1	6	7	9	13	16	22
523	3	5	10	15	17	19	23
524	4	7	14	17	19	21	29
525	12	16	17	20	21	22	29
526	5	8	13	26	27	30	31
527	2	9	12	18	24	30	31
528	4	5	9	13	17	18	31
529	8	10	13	16	24	27	29
530	3	11	13	23	26	27	30
531	4	11	15	18	23	26	31
532	3	5	8	16	19	23	30
533	2	3	4	9	13	20	25
534	10	11	14	19	28	30	31
535	2	4	10	11	14	28	30
536	3	5	8	10	12	22	27
537	8	11	13	19	22	24	28
538	8	12	18	19	28	29	31
539	7	12	14	16	23	26	27
540	7	9	10	13	18	21	25
541	1	4	6	8	13	17	31
542	3	6	10	13	15	17	29
543	3	4	6	10	18	20	26
544	2	8	9	11	17	24	28
545	1	6	12	19	21	22	26
546	6	8	17	19	20	21	29
547	2	4	17	18	19	25	31
548	1	7	11	19	21	29	30
549	4	6	8	14	16	23	24
550	5	8	16	18	23	27	28
551	1	4	6	8	12	24	30
552	6	13	14	21	23	27	29
553	6	8	14	19	23	26	30
554	5	9	17	19	20	26	30
555	4	12	15	17	22	24	25
556	3	6	9	17	19	25	28
557	1	7	10	12	20	23	26
558	3	5	11	17	21	26	27
559	9	11	17	18	22	25	30
560	12	14	17	19	27	29	30
561	1	4	16	18	19	21	30
562	2	7	9	14	19	26	29
563	5	10	11	18	27	28	30
564	2	4	11	20	22	24	31
565	1	2	11	13	19	21	24
566	2	7	13	15	18	19	25
567	8	12	19	21	23	25	28
568	1	7	12	14	20	29	31
569	1	2	4	9	17	21	31
570	9	18	20	21	23	24	29
571	9	13	16	18	23	26	31
572	3	7	10	12	14	27	30
573	6	13	22	24	26	29	30
574	11	14	22	23	24	26	29
575	3	4	6	10	12	14	23
576	2	3	6	8	16	25	26
577	4	7	10	14	25	29	30
578	11	13	17	20	21	23	25
579	1	4	6	8	17	22	25
580	9	13	18	19	21	22	25
581	2	8	9	11	16	25	29
582	9	10	17	20	21	22	26
583	3	6	10	15	21	25	29
584	3	10	22	24	26	30	31
585	1	2	7	12	14	17	29
586	1	9	11	22	25	28	31
587	6	10	11	13	19	21	29
588	4	8	9	14	16	19	24
589	2	12	16	17	18	22	23
590	1	5	8	18	19	27	28
591	2	17	19	20	23	25	27
592	4	9	10	12	19	22	26
593	2	9	10	13	18	20	29
594	6	15	16	17	18	27	31
595	4	8	9	19	22	25	31
596	2	5	9	14	25	26	28
597	6	7	10	13	22	24	29
598	7	9	13	15	20	24	25
599	2	3	6	7	17	26	29
600	2	4	9	11	18	24	28
601	9	10	11	12	18	19	25
602	1	6	8	11	15	19	30
603	2	21	22	26	27	28	31
604	6	7	12	18	20	24	28
605	9	10	20	23	27	29	31
606	3	7	13	14	16	17	31
607	9	10	11	17	21	23	26
608	7	8	12	22	26	27	31
609	2	4	9	11	19	30	31
610	2	4	8	16	18	21	29
611	2	3	10	18	23	29	30
612	4	6	10	16	21	25	29
613	5	10	16	22	26	27	28
614	1	3	7	9	16	24	26
615	3	6	11	14	17	28	29
616	6	12	15	26	27	28	31
617	1	6	8	13	15	21	25
618	3	5	13	15	17	18	24
619	2	5	11	13	19	25	27
620	1	4	15	18	22	23	30
621	2	8	12	15	16	19	23
622	4	9	11	22	25	28	29
623	6	10	15	17	20	27	30
624	8	20	21	22	27	29	31
625	2	6	10	12	19	30	31
626	1	4	7	9	11	19	27
627	7	11	14	17	18	21	22
628	5	8	10	16	20	24	31
629	7	9	10	21	24	25	28
630	3	8	11	15	19	20	30
631	6	11	14	18	19	22	29
632	6	10	11	12	14	18	24
633	3	5	9	11	13	20	25
634	3	4	8	16	21	30	31
635	2	8	11	13	15	16	17
636	2	4	7	14	21	27	28
637	3	4	11	14	22	25	31
638	2	3	14	15	19	21	26
639	3	8	12	15	24	25	31
640	3	5	9	13	19	29	30
641	3	7	9	12	15	25	30
642	8	10	11	13	14	24	29
643	2	6	7	10	14	16	26
644	7	8	17	19	20	22	26
645	5	7	11	19	24	29	31
646	1	4	5	13	15	22	24
647	1	6	12	13	27	29	31
648	3	6	9	23	25	28	30
649	4	5	8	14	18	19	30
650	1	4	6	11	14	20	25
651	4	6	11	12	19	22	30
652	8	9	14	19	24	26	30
653	1	3	12	15	22	24	30
654	6	7	8	11	12	14	27
655	4	8	12	20	26	27	31
656	2	8	9	13	19	25	27
657	6	7	16	19	25	28	30
658	9	16	17	23	26	28	31
659	4	5	7	12	20	24	31
660	7	8	9	11	17	23	28
661	2	5	9	14	23	26	29
662	1	5	13	15	23	26	28
663	1	2	3	15	20	30	31
664	3	4	10	16	24	25	27
665	8	10	12	14	15	16	31
666	5	6	8	24	27	28	29
667	4	11	12	20	24	28	29
668	1	5	7	11	17	24	31
669	1	4	11	14	15	22	24
670	10	12	15	17	19	28	30
671	5	15	16	26	29	30	31
672	2	3	7	8	18	29	30
673	7	16	20	22	28	29	31
674	6	12	13	19	28	30	31
675	4	7	8	10	17	20	26
676	6	8	15	23	26	27	31
677	3	8	9	24	28	29	31
678	4	5	13	20	21	26	30
679	1	3	15	16	17	20	31
680	4	5	14	16	20	24	28
681	1	11	12	13	18	27	31
682	15	16	19	20	26	29	30
683	2	6	10	14	17	23	27
684	2	3	12	14	15	22	23
685	4	8	18	21	24	26	30
686	4	13	16	18	19	24	25
687	3	6	7	13	15	18	31
688	2	6	22	25	29	30	31
689	6	7	10	12	23	25	31
690	2	9	12	15	27	29	31
691	3	5	10	13	14	20	29
692	8	9	11	12	23	25	28
693	2	4	7	16	29	30	31
694	6	7	12	23	26	28	31
695	2	6	10	17	21	22	26
696	1	5	9	19	20	24	29
697	6	16	18	20	25	29	31
698	4	11	14	17	18	19	31
699	2	6	7	9	20	26	29
700	6	8	10	11	18	20	22
701	1	2	4	7	13	23	26
702	4	7	14	18	20	25	26
703	1	4	7	11	16	20	24
704	2	4	12	13	16	21	29
705	5	7	9	12	13	22	23
706	17	19	20	24	27	28	31
707	1	15	19	22	23	30	31
708	3	15	17	18	20	29	31
709	1	4	7	9	20	25	31
710	1	4	17	18	22	24	31
711	5	6	11	17	21	26	27
712	2	3	10	11	15	20	27
713	2	4	6	8	12	13	22
714	13	15	19	23	26	27	28
715	1	8	17	18	22	27	31
716	2	4	6	9	17	19	30
717	6	8	19	20	21	23	24
718	11	13	15	18	20	21	22
719	1	8	10	17	26	29	31
720	3	8	10	17	22	23	31
721	3	5	7	14	21	24	29
722	9	13	16	22	23	27	31
723	2	16	20	22	27	28	31
724	8	10	13	17	23	25	27
725	7	13	16	17	20	28	30
726	7	14	20	21	23	27	30
727	3	7	11	20	22	23	24
728	2	12	17	21	26	27	28
729	7	9	17	21	29	30	31
730	2	5	6	12	14	16	28
731	2	7	8	11	13	21	25
732	3	7	10	17	23	26	30
733	4	12	15	16	22	25	27
734	7	9	11	19	21	24	30
735	3	5	6	8	12	18	31
736	5	10	11	12	18	23	29
737	13	16	20	21	25	27	28
738	3	6	10	19	21	27	30
739	9	11	16	19	22	28	30
740	6	12	13	17	18	28	31
741	3	6	11	15	20	23	26
742	3	5	11	13	17	22	29
743	2	3	4	6	7	10	16
744	3	5	20	22	23	25	31
745	1	6	7	8	17	20	31
746	10	12	14	17	19	20	30
747	3	5	8	10	21	22	24
748	5	11	16	18	19	23	25
749	8	10	11	26	27	29	31
750	4	10	12	15	16	17	30
751	4	5	9	13	23	29	31
752	4	5	11	14	16	17	21
753	5	6	9	10	18	28	31
754	13	19	23	24	26	27	30
755	3	4	10	12	17	20	22
756	4	8	12	17	19	26	31
757	6	7	14	17	18	28	31
758	2	3	7	20	22	26	31
759	9	11	12	18	23	25	30
760	1	8	9	16	17	28	31
761	6	9	10	17	22	25	31
762	4	11	13	17	22	30	31
763	4	5	7	12	18	23	25
764	7	9	17	19	23	24	30
765	5	15	22	23	28	29	31
766	10	11	16	17	18	21	31
767	4	10	11	16	22	24	29
768	2	13	17	18	24	27	29
769	2	4	6	7	13	14	29
770	8	12	15	27	28	29	30
771	6	13	19	20	26	27	28
772	2	7	9	10	17	26	27
773	7	8	11	12	22	26	27
774	4	6	16	18	19	27	30
775	8	14	17	19	21	24	30
776	11	13	16	17	18	20	31
777	2	5	12	14	25	30	31
778	2	6	9	10	11	16	30
779	14	16	21	22	26	29	31
780	3	8	11	15	19	27	29
781	5	7	11	12	13	14	18
782	4	5	8	9	11	21	25
783	4	11	12	16	19	21	23
784	2	4	11	12	14	17	20
785	3	9	15	16	20	21	25
786	1	6	8	13	14	17	21
787	3	15	18	23	25	29	30
788	3	6	11	21	23	27	28
789	1	3	4	11	15	19	28
790	1	2	7	13	18	21	24
791	1	3	10	12	17	23	24
792	5	6	11	13	17	19	23
793	2	4	5	20	22	29	30
794	7	12	14	15	21	25	29
795	14	15	17	18	19	24	28
796	1	5	9	17	20	21	31
797	1	7	9	13	18	27	31
798	1	6	18	21	24	25	30
799	10	11	13	20	22	25	26
800	6	8	10	11	15	21	28
801	1	9	14	18	23	24	31
802	1	7	9	10	14	25	30
803	4	6	19	22	23	24	26
804	1	9	13	25	26	27	29
805	7	11	17	19	25	27	28
806	2	10	11	13	16	19	27
807	1	2	8	9	14	16	29
808	5	6	7	8	9	12	18
809	5	13	14	20	21	29	30
810	2	5	7	15	21	27	29
811	4	5	16	17	19	25	26
812	12	16	17	18	19	25	27
813	4	8	9	11	13	15	22
814	2	3	4	6	8	25	29
815	1	3	5	8	24	25	26
816	8	11	14	16	18	21	23
817	3	17	23	24	25	27	29
818	1	4	5	7	21	22	27
819	2	4	6	19	24	27	28
820	6	7	8	15	16	17	31
821	3	4	12	20	23	29	31
822	2	3	17	18	22	23	28
823	2	4	19	20	23	24	28
824	8	10	11	21	25	28	29
825	4	9	10	18	19	26	31
826	5	8	15	16	17	24	29
827	8	9	18	19	25	26	27
828	1	2	8	11	12	17	21
829	3	14	16	18	24	26	29
830	7	8	11	15	21	25	29
831	2	7	17	20	23	25	26
832	5	11	13	15	19	20	22
833	9	10	13	16	20	23	30
834	1	3	10	13	15	18	27
835	1	2	6	10	21	24	29
836	9	11	13	15	18	20	24
837	1	5	6	13	20	24	30
838	4	18	19	21	24	27	31
839	1	2	8	10	13	20	26
840	2	5	6	13	18	24	25
841	1	3	4	6	14	16	26
842	4	10	17	18	21	27	31
843	3	4	6	17	18	19	20
844	6	13	16	19	20	21	31
845	10	11	12	16	17	20	26
846	7	18	20	21	25	26	29
847	5	18	20	24	26	27	31
848	3	7	14	19	21	22	29
849	3	7	12	14	17	21	27
850	9	18	20	25	26	30	31
851	4	12	14	15	23	24	25
852	2	7	9	10	13	15	22
853	1	2	10	16	24	25	27
854	7	14	16	17	18	23	24
855	6	7	15	20	22	26	30
856	1	5	8	22	24	28	29
857	5	8	10	12	18	29	30
858	1	14	23	25	26	27	28
859	3	5	6	11	18	22	31
860	5	6	14	15	27	28	30
861	8	11	15	16	20	25	30
862	3	5	8	12	20	23	27
863	1	2	9	17	19	20	22
864	2	8	9	12	22	23	28
865	2	7	8	13	18	24	30
866	5	8	10	14	21	24	31
867	7	12	22	24	25	26	30
868	2	5	9	11	12	20	23
869	8	11	14	20	22	25	27
870	1	4	10	17	24	25	29
